Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-09-20,El Pico 2,1984,https://boxd.it/7mKd3N,4,,está guay pero la verdad que el rollo de la primera me moló más😁,,2024-09-20
2024-10-13,The Unemployment Club,2021,https://boxd.it/7x89i3,2,,malilla,,2024-10-12
2024-10-13,Navajeros,1980,https://boxd.it/7xkBa1,3.5,,va dura pero no está al nivel del pico desde mi punto de vista...pero igualmente preserva la esencia asík guay,,2024-10-13
2025-01-17,The Boy and the Heron,2023,https://boxd.it/8v2KBT,3.5,,"me esperaba más la verdad, el principio de la peli un poco aburrido sinceramente.",,2025-01-16
2025-02-02,Nosferatu,2024,https://boxd.it/8H9KId,2,,más mala que el hambre,,2025-02-01
2025-02-02,Babygirl,2024,https://boxd.it/8HsV3X,2.5,,sesosesoseso,,2025-02-02
2025-02-23,The Teacher Who Promised the Sea,2023,https://boxd.it/8Vcu23,5,,"puf casi me hace llorar, eso significa que es muy buena para mí condición de acuria",,2025-02-22
2025-02-26,Parasite,2019,https://boxd.it/8XgFiR,4,,"Bastante gitana, cuanto más avanzaba la película, más cosas inesperadas sucedían por segundo 
Me ha sorprendido!",,2025-02-25
2025-03-07,Anora,2024,https://boxd.it/92NMvT,3,,<blockquote>me gustó como empezó pero la verdad que de la mitad para alante no tiene gracia y el final extrañísimo </blockquote>,,2025-03-06
2025-06-25,I'm Still Here,2024,https://boxd.it/a6J0F3,3,,"Por las buenas valoraciones de la peli pensaba que iba a ser mejor, pero bueno tampoco me ha parecido mala, un poco lenta eso si.
",,2025-06-24
2025-06-25,Sound of Metal,2019,https://boxd.it/a7iKCf,4,,"gipsy total, la manera que han jugado con el sonido de la peli es loco, yo me agobiaba real, pobre hombre",,2025-06-25
2025-06-26,The Grand Budapest Hotel,2014,https://boxd.it/a7mwtB,4.5,,muy chula!! este wes anderson que es un icono 😘,,2025-06-25
2025-07-01,How to Train Your Dragon,2025,https://boxd.it/aaR3uT,4,,"puf me ha encantado, estaba más metida en la peli que todos los niños del cine, simplemente BRUTAL",,2025-06-30
2025-07-02,The Monkey,2025,https://boxd.it/abuhXD,1,,en su momento no la rankee pero malísima,,2025-07-01
2025-07-09,Bring Her Back,2025,https://boxd.it/agMmql,4,,"está gipsy gipsy, yo casi vomito en varias ovaciones",,2025-07-09
2025-07-22,Jurassic World Rebirth,2025,https://boxd.it/aq8zP9,3,,guay por los dinosaurios y se hace rápida pero tampoco está tan gipsy,,2025-07-21
2025-08-02,One Hour Photo,2002,https://boxd.it/aznEEV,3.5,,me encantaría saber qué pasa con las fotos que les saco al final,,2025-08-02
2025-08-05,Presence,2024,https://boxd.it/aCiJQJ,3,,regulera,,2025-08-05
2025-08-06,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/aCoKOV,4,,que se haya grabado sin cortes está bastante guay,,2025-08-05
